Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Battery","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",40.250000,-152.400000,0.000000,bottom
"MK1","ICS_43434","InvenSense_ICS-43434-6_3.5x2.65mm",53.350000,-35.990000,180.000000,bottom
"R3","22","R_0603_1608Metric",58.175000,-33.258000,0.000000,bottom
"R7","100k","R_0603_1608Metric",58.835000,-143.000000,-90.000000,bottom
"R8","100k","R_0603_1608Metric",50.250000,-152.750000,180.000000,bottom
"C1","1uF","C_0805_2012Metric",56.000000,-125.000000,180.000000,top
"C2","1uF","C_0805_2012Metric",44.750000,-133.750000,0.000000,top
"C3","100nF","C_0603_1608Metric",40.500000,-35.500000,180.000000,top
"D1","INL-3AHIR30","LED_D3.0mm_IRBlack",64.037455,-33.258000,180.000000,top
"D2","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",40.000000,-134.625000,0.000000,top
"Q1","MMBT2222A","SOT-23",68.326000,-32.004000,180.000000,top
"R1","470","R_0603_1608Metric",69.088000,-36.576000,90.000000,top
"R2","330","R_0603_1608Metric",41.250000,-139.750000,90.000000,top
"R4","4.7k","R_0603_1608Metric",59.000000,-119.750000,-90.000000,top
"R5","4.7k","R_0603_1608Metric",60.000000,-123.075000,-90.000000,top
"R6","100","R_0603_1608Metric",38.500000,-33.000000,0.000000,top
"R9","100k","R_0603_1608Metric",67.750000,-155.000000,-90.000000,top
"SW1","SW_Push","SW_TL3315NF160Q",65.786000,-41.656000,0.000000,top
"SW2","SW_Push","SW_TL3315NF160Q",40.894000,-41.656000,0.000000,top
"SW3","SW_Push","SW_TL3315NF160Q",40.894000,-94.742000,90.000000,top
"SW4","SW_Push","SW_TL3315NF160Q",40.836910,-107.214000,90.000000,top
"SW5","SW_Push","SW_TL3315NF160Q",40.894000,-119.634000,90.000000,top
"SW6","SW_Push","SW_TL3315NF160Q",53.340000,-94.742000,90.000000,top
"SW7","SW_Push","SW_TL3315NF160Q",53.340000,-107.188000,90.000000,top
"SW8","SW_Push","SW_TL3315NF160Q",53.340000,-119.634000,90.000000,top
"SW9","SW_Push","SW_TL3315NF160Q",65.786000,-119.634000,90.000000,top
"SW10","SW_Push","SW_TL3315NF160Q",65.786000,-107.188000,90.000000,top
"SW11","SW_Push","SW_TL3315NF160Q",65.786000,-94.742000,90.000000,top
"U1","XIAO-ESP32-C6","XIAO-ESP32-C6-SMD",63.835000,-137.120000,180.000000,top
"U2","TSOP4136","Vishay_MOLD-3Pin",46.482000,-33.020000,180.000000,top
"U3","PCF8575DBR","SSOP-24_5.3x8.2mm_P0.65mm",53.284000,-130.664000,0.000000,top
